ratio,arm,detail,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,prefetch_declined,censored,exit_code
0.25,E,layer_order_on,1,80,10737418240,4244635578,43,84,0,45,11811160064,11811160064,25,0,0,0,0
0.25,E,layer_order_on,2,80,10737418240,4325865591,43,82,0,43,11542724608,11542724608,25,0,0,0,0
0.25,E,layer_order_on,3,80,10737418240,4164853973,42,81,0,43,11408506880,11408506880,26,0,0,0,0
0.25,OPT,belady_over_D_trace,1,,,,65,,,,,8724152320,,,,0,
0.25,OPT,belady_over_D_trace,2,,,,65,,,,,8724152320,,,,0,
0.25,OPT,belady_over_D_trace,3,,,,65,,,,,8724152320,,,,0,
0.5,A,mmap_normal_off,1,80,10737418240,2769251012,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.5,A,mmap_normal_off,2,80,10737418240,2709354066,n/a,n/a,n/a,n/a,,10750038016,,,,0,0
0.5,A,mmap_normal_off,3,80,10737418240,2579094115,n/a,n/a,n/a,n/a,,10743746560,,,,0,0
0.5,A,mmap_random_off,1,80,10737418240,170160904590,n/a,n/a,n/a,n/a,,10736861184,,,,0,0
0.5,A,mmap_random_off,2,80,10737418240,172145045990,n/a,n/a,n/a,n/a,,10736349184,,,,0,0
0.5,A,mmap_random_off,3,80,10737418240,164835304991,n/a,n/a,n/a,n/a,,10735919104,,,,0,0
0.5,A,mmap_sequential_off,1,80,10737418240,2426593233,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.5,A,mmap_sequential_off,2,80,10737418240,2325831702,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.5,A,mmap_sequential_off,3,80,10737418240,2296094465,n/a,n/a,n/a,n/a,,10737455104,,,,0,0
0.5,B,mmap_sequential_on,1,80,10737418240,3202410897,n/a,n/a,n/a,n/a,,10191962112,,,,0,0
0.5,B,mmap_sequential_on,2,80,10737418240,3507044200,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.5,B,mmap_sequential_on,3,80,10737418240,3648493057,n/a,n/a,n/a,n/a,,10192158720,,,,0,0
0.5,C,lru_off,1,80,10737418240,6038080275,80,72,0,0,10737418240,10737418240,0,0,0,0,0
0.5,C,lru_off,2,80,10737418240,5745075976,80,72,0,0,10737418240,10737418240,0,0,0,0,0
0.5,C,lru_off,3,80,10737418240,5480635630,80,72,0,0,10737418240,10737418240,0,0,0,0,0
0.5,D,layer_order_off,1,80,10737418240,4052956391,57,49,0,0,7650410496,7650410496,0,0,0,0,0
0.5,D,layer_order_off,2,80,10737418240,4146518529,57,49,0,0,7650410496,7650410496,0,0,0,0,0
0.5,D,layer_order_off,3,80,10737418240,3825217312,57,49,0,0,7650410496,7650410496,0,0,0,0,0
0.5,E,layer_order_on,1,80,10737418240,4272604596,42,70,0,36,10468982784,10468982784,20,0,0,0,0
0.5,E,layer_order_on,2,80,10737418240,4185698546,42,70,0,36,10468982784,10468982784,20,0,0,0,0
0.5,E,layer_order_on,3,80,10737418240,4157539168,42,70,0,36,10468982784,10468982784,20,0,0,0,0
