ratio,window,threads,handler,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,dedup_resident,dedup_fetching,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.75,2,1,sync,1,80,10737418240,2710331788,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,1,sync,2,80,10737418240,2541222899,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,1,sync,3,80,10737418240,2864431101,41,29,0,0,0,5502926848,5503045632,0,0
0.75,2,1,async,1,80,10737418240,3070960243,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,1,async,2,80,10737418240,2889740548,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,1,async,3,80,10737418240,2933983751,41,29,0,0,0,5502926848,5502926848,0,0
0.75,2,8,sync,1,80,10737418240,2713195146,43,31,0,0,0,5771362304,5771362304,0,0
0.75,2,8,sync,2,80,10737418240,2773319663,43,31,0,0,0,5771362304,5771362304,0,0
0.75,2,8,sync,3,80,10737418240,2690994705,43,31,0,0,0,5771362304,5771362304,0,0
0.75,2,8,async,1,80,10737418240,2656742539,43,31,0,39,91,5771362304,5771362304,0,0
0.75,2,8,async,2,80,10737418240,2731845846,47,35,0,42,105,6308233216,6308233216,0,0
0.75,2,8,async,3,80,10737418240,2944173154,47,35,0,42,86,6308233216,6308233216,0,0
