chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.75,D,layer_order_learned,0,1,1280,10737418240,2933580504,643,451,0,0,5393874944,5393874944,609,2840,0,0
8388608,0.75,D,layer_order_learned,0,2,1280,10737418240,3007494902,641,449,0,0,5377097728,5377097728,603,2613,0,0
8388608,0.75,D,layer_order_learned,0,3,1280,10737418240,3029759611,643,451,0,0,5393874944,5393874944,596,2835,0,0
8388608,0.75,D,layer_order_declared,0,1,1280,10737418240,2514935656,512,320,0,0,4294967296,4294967296,484,2083,0,0
8388608,0.75,D,layer_order_declared,0,2,1280,10737418240,2356392721,512,320,0,0,4294967296,4294967296,497,2181,0,0
8388608,0.75,D,layer_order_declared,0,3,1280,10737418240,2557132089,512,320,0,0,4294967296,4294967296,483,2158,0,0
8388608,0.75,E,layer_order_learned,0,1,1280,10737418240,2523249355,403,396,0,185,4932501504,4932501504,494,1686,0,0
8388608,0.75,E,layer_order_learned,0,2,1280,10737418240,2561574056,395,391,0,188,4890558464,4890558464,492,1684,0,0
8388608,0.75,E,layer_order_learned,0,3,1280,10737418240,2498208433,425,447,0,214,5360320512,5360320512,468,1654,0,0
8388608,0.75,E,layer_order_declared,0,1,1280,10737418240,2042797627,176,320,0,336,4294967296,4294967296,441,802,0,0
8388608,0.75,E,layer_order_declared,0,2,1280,10737418240,2161766530,174,320,0,338,4294967296,4294967296,449,825,0,0
8388608,0.75,E,layer_order_declared,0,3,1280,10737418240,2102555274,175,320,0,337,4294967296,4294967296,442,785,0,0
8388608,0.75,C,lru,400000,1,1280,10737418240,6808128867,1280,1088,0,0,10737418240,10737418240,1279,1824,0,0
8388608,0.75,C,lru,400000,2,1280,10737418240,6930111015,1280,1088,0,0,10737418240,10737418240,1279,1557,0,0
8388608,0.75,C,lru,400000,3,1280,10737418240,6873050371,1280,1088,0,0,10737418240,10737418240,1278,1649,0,0
8388608,0.75,D,layer_order_learned,400000,1,1280,10737418240,4122745791,663,471,0,0,5561647104,5561647104,599,961,0,0
8388608,0.75,D,layer_order_learned,400000,2,1280,10737418240,3856556079,662,470,0,0,5553258496,5553258496,609,988,0,0
8388608,0.75,D,layer_order_learned,400000,3,1280,10737418240,4070100840,662,470,0,0,5553258496,5553258496,598,987,0,0
8388608,0.75,D,layer_order_declared,400000,1,1280,10737418240,3490286935,512,320,0,0,4294967296,4294967296,512,614,0,0
8388608,0.75,D,layer_order_declared,400000,2,1280,10737418240,3303668145,512,320,0,0,4294967296,4294967296,511,593,0,0
8388608,0.75,D,layer_order_declared,400000,3,1280,10737418240,3285574885,512,320,0,0,4294967296,4294967296,512,508,0,0
8388608,0.75,E,layer_order_learned,400000,1,1280,10737418240,3473409160,422,435,0,205,5259657216,5259657216,501,703,0,0
8388608,0.75,E,layer_order_learned,400000,2,1280,10737418240,3337761173,404,405,0,193,5007998976,5007998976,488,607,0,0
8388608,0.75,E,layer_order_learned,400000,3,1280,10737418240,3467603737,418,425,0,199,5175771136,5175771136,499,614,0,0
8388608,0.75,E,layer_order_declared,400000,1,1280,10737418240,2706211567,174,320,0,338,4294967296,4294967296,477,239,0,0
8388608,0.75,E,layer_order_declared,400000,2,1280,10737418240,2819683782,174,320,0,338,4294967296,4294967296,482,256,0,0
8388608,0.75,E,layer_order_declared,400000,3,1280,10737418240,2828570170,175,320,0,337,4294967296,4294967296,461,225,0,0
134217728,0.25,C,lru,0,1,80,10737418240,4763230925,80,76,0,0,10737418240,10737418240,80,144,0,0
134217728,0.25,C,lru,0,2,80,10737418240,4781611977,80,76,0,0,10737418240,10737418240,79,172,0,0
134217728,0.25,C,lru,0,3,80,10737418240,4703063333,80,76,0,0,10737418240,10737418240,79,120,0,0
134217728,0.25,D,layer_order_learned,0,1,80,10737418240,4225797117,69,65,0,0,9261023232,9261023232,68,105,0,0
134217728,0.25,D,layer_order_learned,0,2,80,10737418240,4114986008,69,65,0,0,9261023232,9261023232,68,143,0,0
134217728,0.25,D,layer_order_learned,0,3,80,10737418240,4215293220,69,65,0,0,9261023232,9261023232,69,110,0,0
134217728,0.25,D,layer_order_declared,0,1,80,10737418240,4527018749,75,71,0,0,10066329600,10066329600,74,134,0,0
134217728,0.25,D,layer_order_declared,0,2,80,10737418240,4501485478,75,71,0,0,10066329600,10066329600,75,114,0,0
134217728,0.25,D,layer_order_declared,0,3,80,10737418240,4383003155,75,71,0,0,10066329600,10066329600,74,141,0,0
134217728,0.25,E,layer_order_learned,0,1,80,10737418240,4012923121,46,83,0,41,11676942336,11676942336,58,94,5,0
