chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.5,C,lru,0,1,1280,10737418240,5735724917,1280,1152,0,0,10737418240,10737418240,1192,5533,0,0
8388608,0.5,C,lru,0,2,1280,10737418240,5752851185,1280,1152,0,0,10737418240,10737418240,1202,5337,0,0
8388608,0.5,C,lru,0,3,1280,10737418240,5735132900,1280,1152,0,0,10737418240,10737418240,1196,5067,0,0
8388608,0.5,D,layer_order_learned,0,1,1280,10737418240,3907182999,897,769,0,0,7524581376,7524581376,843,3928,0,0
8388608,0.5,D,layer_order_learned,0,2,1280,10737418240,4254011589,897,769,0,0,7524581376,7524581376,829,3760,0,0
8388608,0.5,D,layer_order_learned,0,3,1280,10737418240,4120026115,899,771,0,0,7541358592,7541358592,847,3831,0,0
8388608,0.5,D,layer_order_declared,0,1,1280,10737418240,3580463436,768,640,0,0,6442450944,6442450944,744,3092,0,0
8388608,0.5,D,layer_order_declared,0,2,1280,10737418240,3335638632,768,640,0,0,6442450944,6442450944,735,3063,0,0
8388608,0.5,D,layer_order_declared,0,3,1280,10737418240,3393300800,769,641,0,0,6450839552,6450839552,730,3126,0,0
8388608,0.5,E,layer_order_learned,0,1,1280,10737418240,3520203571,555,799,0,372,7776239616,7776239616,695,2357,0,0
8388608,0.5,E,layer_order_learned,0,2,1280,10737418240,4029564773,605,973,0,496,9235857408,9235857408,678,2312,0,0
8388608,0.5,E,layer_order_learned,0,3,1280,10737418240,3532585678,543,769,0,354,7524581376,7524581376,686,2190,0,0
8388608,0.5,E,layer_order_declared,0,1,1280,10737418240,3054313557,292,665,0,501,6652166144,6652166144,691,1134,0,0
8388608,0.5,E,layer_order_declared,0,2,1280,10737418240,2850303377,286,662,0,504,6627000320,6627000320,682,1191,0,0
8388608,0.5,E,layer_order_declared,0,3,1280,10737418240,3093285895,304,681,0,505,6786383872,6786383872,668,1085,0,0
8388608,0.5,C,lru,400000,1,1280,10737418240,6689794444,1280,1152,0,0,10737418240,10737418240,1279,1353,0,0
8388608,0.5,C,lru,400000,2,1280,10737418240,6738279811,1280,1152,0,0,10737418240,10737418240,1280,1586,0,0
8388608,0.5,C,lru,400000,3,1280,10737418240,6826114559,1280,1152,0,0,10737418240,10737418240,1277,1690,0,0
8388608,0.5,D,layer_order_learned,400000,1,1280,10737418240,5642397840,1047,919,0,0,8782872576,8782872576,901,1576,0,0
8388608,0.5,D,layer_order_learned,400000,2,1280,10737418240,5619748589,1046,918,0,0,8774483968,8774483968,901,1425,0,0
8388608,0.5,D,layer_order_learned,400000,3,1280,10737418240,5725738097,1070,942,0,0,8975810560,8975810560,912,1661,0,0
8388608,0.5,D,layer_order_declared,400000,1,1280,10737418240,7667646208,1372,1244,0,0,11509170176,11509170176,583,2833,0,0
8388608,0.5,D,layer_order_declared,400000,2,1280,10737418240,7153204900,1345,1217,0,0,11282677760,11282677760,603,2519,0,0
8388608,0.5,D,layer_order_declared,400000,3,1280,10737418240,6780694483,1392,1264,0,0,11676942336,11676942336,556,2738,0,0
8388608,0.5,E,layer_order_learned,400000,1,1280,10737418240,4682079975,588,801,0,341,7793016832,7793016832,652,1188,0,0
8388608,0.5,E,layer_order_learned,400000,2,1280,10737418240,4713646187,560,828,0,396,8019509248,8019509248,730,954,0,0
8388608,0.5,E,layer_order_learned,400000,3,1280,10737418240,4769234803,558,829,0,399,8027897856,8027897856,749,981,0,0
