policy,protect,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_delta,signal_mode,rc
layer_order_declared,on,134217728,0.5,0,1,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.5,0,2,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.5,0,3,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.5,400000,1,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.5,400000,2,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.5,400000,3,80,56,48,7516192768,7516192768,post,0
layer_order_declared,on,134217728,0.75,0,1,80,36,24,4831838208,4831838208,post,0
layer_order_declared,on,134217728,0.75,0,2,80,36,24,4831838208,4831838208,post,0
layer_order_declared,on,134217728,0.75,0,3,80,36,24,4831838208,4831838208,post,0
layer_order_declared,on,134217728,0.75,400000,1,80,36,24,4831838208,4831838208,post,0
layer_order_declared,on,134217728,0.75,400000,2,80,36,24,4831838208,4831838208,post,0
layer_order_declared,on,134217728,0.75,400000,3,80,36,24,4831838208,4831838208,post,0
layer_order_learned,off,8388608,0.25,0,1,1280,1093,1029,9168748544,9168748544,post,0
layer_order_learned,off,8388608,0.25,0,2,1280,1089,1025,9135194112,9135194112,post,0
layer_order_learned,off,8388608,0.25,0,3,1280,1090,1026,9143582720,9143582720,post,0
layer_order_learned,off,8388608,0.25,400000,1,1280,1400,1336,11744051200,11744051200,post,0
layer_order_learned,off,8388608,0.25,400000,2,1280,1364,1300,11442061312,11442061312,post,0
layer_order_learned,off,8388608,0.25,400000,3,1280,1372,1308,11509170176,11509170176,post,0
layer_order_learned,off,8388608,0.5,0,1,1280,901,773,7558135808,7558135808,post,0
layer_order_learned,off,8388608,0.5,0,2,1280,897,769,7524581376,7524581376,post,0
layer_order_learned,off,8388608,0.5,0,3,1280,897,769,7524581376,7524581376,post,0
layer_order_learned,off,8388608,0.5,400000,1,1280,1083,955,9084862464,9084862464,post,0
layer_order_learned,off,8388608,0.5,400000,2,1280,1089,961,9135194112,9135194112,post,0
layer_order_learned,off,8388608,0.5,400000,3,1280,1090,962,9143582720,9143582720,post,0
layer_order_learned,off,8388608,0.75,0,1,1280,641,449,5377097728,5377097728,post,0
layer_order_learned,off,8388608,0.75,0,2,1280,641,449,5377097728,5377097728,post,0
layer_order_learned,off,8388608,0.75,0,3,1280,643,451,5393874944,5393874944,post,0
layer_order_learned,off,8388608,0.75,400000,1,1280,664,472,5570035712,5570035712,post,0
layer_order_learned,off,8388608,0.75,400000,2,1280,673,481,5645533184,5645533184,post,0
layer_order_learned,off,8388608,0.75,400000,3,1280,685,493,5746196480,5746196480,post,0
layer_order_learned,off,134217728,0.25,0,1,80,69,65,9261023232,9261023232,post,0
layer_order_learned,off,134217728,0.25,0,2,80,69,65,9261023232,9261023232,post,0
layer_order_learned,off,134217728,0.25,0,3,80,69,65,9261023232,9261023232,post,0
layer_order_learned,off,134217728,0.25,400000,1,80,100,96,13421772800,13421772800,post,0
layer_order_learned,off,134217728,0.25,400000,2,80,102,98,13690208256,13690208256,post,0
layer_order_learned,off,134217728,0.25,400000,3,80,100,96,13421772800,13421772800,post,0
layer_order_learned,off,134217728,0.5,0,1,80,57,49,7650410496,7650410496,post,0
layer_order_learned,off,134217728,0.5,0,2,80,57,49,7650410496,7650410496,post,0
layer_order_learned,off,134217728,0.5,0,3,80,57,49,7650410496,7650410496,post,0
layer_order_learned,off,134217728,0.5,400000,1,80,79,71,10603200512,10603200512,post,0
layer_order_learned,off,134217728,0.5,400000,2,80,76,68,10200547328,10200547328,post,0
layer_order_learned,off,134217728,0.5,400000,3,80,69,61,9261023232,9261023232,post,0
layer_order_learned,off,134217728,0.75,0,1,80,41,29,5502926848,5502926848,post,0
layer_order_learned,off,134217728,0.75,0,2,80,41,29,5502926848,5502926848,post,0
layer_order_learned,off,134217728,0.75,0,3,80,41,29,5502926848,5502926848,post,0
layer_order_learned,off,134217728,0.75,400000,1,80,56,44,7516192768,7516192768,post,0
layer_order_learned,off,134217728,0.75,400000,2,80,56,44,7516192768,7516192768,post,0
layer_order_learned,off,134217728,0.75,400000,3,80,55,43,7381975040,7381975040,post,0
