extension,count,total_bytes
cpp/build/examples/diffusion/Makefile,1,10312
cpp/build/tools/ui/ui-src/node_modules/sharp/LICENSE,1,10273
cpp/build/tools/ui/ui-src/node_modules/svelte/node_modules/aria-query/LICENSE,1,10236
cpp/build/tools/ui/ui-src/node_modules/axobject-query/LICENSE,1,10236
cpp/build/tools/ui/ui-src/node_modules/aria-query/LICENSE,1,10236
cpp/build/tools/ui/Makefile,1,10179
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/LICENSE,1,10174
cpp/build/tools/perplexity/Makefile,1,10137
cpp/build/tools/fit-params/Makefile,1,10137
cpp/build/tools/completion/Makefile,1,10137
cpp/build/tools/llama-bench/Makefile,1,10017
cpp/build/tools/quantize/Makefile,1,9969
cpp/build/tools/ui/ui-src/node_modules/esprima/ChangeLog,1,9913
cpp/build/app/Makefile,1,9805
cpp/build/pocs/vdot/Makefile,1,9557
cpp/build/tools/ui/ui-src/node_modules/http-server/bin/http-server,1,9377
cpp/build/tools/ui/ui-src/node_modules/esbuild/bin/esbuild,1,9350
clang-format,2,9337
cpp/build/examples/convert-llama2c-to-ggml/Makefile,1,9120
cpp/examples/model-conversion/Makefile,1,9005
cpp/build/examples/speculative-simple/Makefile,1,8845
cpp/build/tools/cvector-generator/Makefile,1,8739
cpp/build/examples/eval-callback/Makefile,1,8570
icc,1,8464
cpp/build/examples/speculative/Makefile,1,8460
cpp/build/examples/simple-chat/Makefile,1,8460
cpp/build/tools/export-lora/Makefile,1,8409
cpp/build/tools/gguf-split/Makefile,1,8354
cpp/build/examples/retrieval/Makefile,1,8350
cpp/build/examples/lookahead/Makefile,1,8350
cpp/build/examples/embedding/Makefile,1,8350
cpp/build/examples/training/Makefile,1,8295
cpp/build/examples/parallel/Makefile,1,8295
cpp/build/examples/gen-docs/Makefile,1,8295
cpp/build/tools/tokenize/Makefile,1,8244
cpp/build/vendor/cpp-httplib/Makefile,1,8240
cpp/build/examples/passkey/Makefile,1,8240
cpp/build/examples/batched/Makefile,1,8240
cpp/build/tools/results/Makefile,1,8189
cpp/build/tools/imatrix/Makefile,1,8189
cpp/build/examples/simple/Makefile,1,8185
cpp/build/examples/debug/Makefile,1,8130
cpp/build/examples/idle/Makefile,1,8075
cpp/build/examples/gguf/Makefile,1,8075
cpp/build/tools/tts/Makefile,1,7969
ttx,1,7561
mf,1,7064
cpp/build/tools/ui/ui-src/node_modules/@storybook/svelte/node_modules/type-fest/license-cc0,1,7048
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/prettier-plugin-multiline-arrays/LICENSE-CC0,1,7047
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/iccs/LICENSE,1,6553
cpp/build/ggml/src/ggml-cpu/Makefile,1,6535
cpp/CODEOWNERS,1,6491
cpp/build/examples/Makefile,1,6490
cpp/build/tools/Makefile,1,6475
cpp/build/pocs/Makefile,1,6470
cpp/build/ggml/Makefile,1,6470
go,1,6067
android/gradlew,1,5766
toml,4,5550
