combo,chunk_size,ratio,compute,rep,touches,absent_handled,evictions,pager_bytes_fetched,io_read_bytes_delta,wall_ns,rc
tid0_on,134217728,0.5,0,1,80,55,47,7381975040,7381975040,4147982697,0
tid0_on,134217728,0.5,0,2,80,55,47,7381975040,7381975040,5325652767,0
tid0_on,134217728,0.5,0,3,80,55,47,7381975040,7381975040,5068158569,0
tid0_on,134217728,0.5,400000,1,80,55,47,7381975040,7381975040,5239691882,0
tid0_on,134217728,0.5,400000,2,80,55,47,7381975040,7381975040,4572406775,0
tid0_on,134217728,0.5,400000,3,80,55,47,7381975040,7381975040,4697752807,0
tid0_on,134217728,0.75,0,1,80,35,23,4697620480,4697620480,3816816512,0
tid0_on,134217728,0.75,0,2,80,35,23,4697620480,4697620480,2287374650,0
tid0_on,134217728,0.75,0,3,80,35,23,4697620480,4697620480,2250350669,0
tid0_on,134217728,0.75,400000,1,80,35,23,4697620480,4697620480,3423203855,0
tid0_on,134217728,0.75,400000,2,80,35,23,4697620480,4697620480,3307103935,0
tid0_on,134217728,0.75,400000,3,80,35,23,4697620480,4697620480,4038223486,0
tid0_off,8388608,0.25,0,1,1280,1031,967,8648654848,8648654848,4617280019,0
tid0_off,8388608,0.25,0,2,1280,1031,967,8648654848,8648654848,4637589862,0
tid0_off,8388608,0.25,0,3,1280,1030,966,8640266240,8640266240,4686793129,0
tid0_off,8388608,0.25,400000,1,1280,1970,1906,16525557760,16525557760,9981737167,0
tid0_off,8388608,0.25,400000,2,1280,1949,1885,16349396992,16349396992,8454646188,0
tid0_off,8388608,0.25,400000,3,1280,1721,1657,14436794368,14436794368,7721674695,0
tid0_off,8388608,0.5,0,1,1280,770,642,6459228160,6459228160,3466758257,0
tid0_off,8388608,0.5,0,2,1280,773,645,6484393984,6484393984,3378414330,0
tid0_off,8388608,0.5,0,3,1280,768,640,6442450944,6442450944,3560130622,0
tid0_off,8388608,0.5,400000,1,1280,1402,1274,11760828416,11760828416,6719640252,0
tid0_off,8388608,0.5,400000,2,1280,1382,1254,11593056256,11593056256,6778330094,0
tid0_off,8388608,0.5,400000,3,1280,1358,1230,11391729664,11391729664,6789250903,0
tid0_off,8388608,0.75,0,1,1280,514,322,4311744512,4311744512,2627858495,0
tid0_off,8388608,0.75,0,2,1280,513,321,4303355904,4303355904,2278639446,0
tid0_off,8388608,0.75,0,3,1280,512,320,4294967296,4294967296,2449787652,0
tid0_off,8388608,0.75,400000,1,1280,797,605,6685720576,6685720576,4603820873,0
tid0_off,8388608,0.75,400000,2,1280,798,606,6694109184,6694109184,4527566454,0
tid0_off,8388608,0.75,400000,3,1280,806,614,6761218048,6761218048,4382717190,0
tid0_off,134217728,0.25,0,1,80,65,61,8724152320,8724152320,3946687492,0
tid0_off,134217728,0.25,0,2,80,65,61,8724152320,8724152320,4004353081,0
tid0_off,134217728,0.25,0,3,80,65,61,8724152320,8724152320,3969718870,0
tid0_off,134217728,0.25,400000,1,80,134,130,17985175552,17985175552,8225324001,0
tid0_off,134217728,0.25,400000,2,80,133,129,17850957824,17850957824,8262140689,0
tid0_off,134217728,0.25,400000,3,80,134,130,17985175552,17985175552,7933237701,0
tid0_off,134217728,0.5,0,1,80,48,40,6442450944,6442450944,3362607392,0
tid0_off,134217728,0.5,0,2,80,48,40,6442450944,6442450944,3271540288,0
tid0_off,134217728,0.5,0,3,80,48,40,6442450944,6442450944,3069843342,0
tid0_off,134217728,0.5,400000,1,80,79,71,10603200512,10603200512,5530757920,0
tid0_off,134217728,0.5,400000,2,80,90,82,12079595520,12079595520,6147970078,0
tid0_off,134217728,0.5,400000,3,80,91,83,12213813248,12213813248,6168300657,0
tid0_off,134217728,0.75,0,1,80,32,20,4294967296,4294967296,2355852737,0
tid0_off,134217728,0.75,0,2,80,32,20,4294967296,4294967296,2020365271,0
tid0_off,134217728,0.75,0,3,80,32,20,4294967296,4294967296,2228912755,0
tid0_off,134217728,0.75,400000,1,80,47,35,6308233216,6308233216,3958854365,0
tid0_off,134217728,0.75,400000,2,80,48,36,6442450944,6442450944,3737347154,0
tid0_off,134217728,0.75,400000,3,80,52,40,6979321856,6979321856,4370629261,0
allthreads_off,8388608,0.25,0,1,1280,1024,960,8589934592,8589934592,4652785729,0
allthreads_off,8388608,0.25,0,2,1280,1024,960,8589934592,8589934592,4630186340,0
allthreads_off,8388608,0.25,0,3,1280,1024,960,8589934592,8589934592,4530641109,0
allthreads_off,8388608,0.25,400000,1,1280,1024,960,8589934592,8589934592,5422328057,0
allthreads_off,8388608,0.25,400000,2,1280,1024,960,8589934592,8589934592,5613326048,0
allthreads_off,8388608,0.25,400000,3,1280,1024,960,8589934592,8589934592,5562716012,0
allthreads_off,8388608,0.5,0,1,1280,768,640,6442450944,6442450944,3503241459,0
