ratio,arm,policy,prefetch,rep,B_bytes,budget_bytes,memory_max,n_prompt,n_decoded,layer_transitions,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_fetching,resident_end,memory_peak,handler_p99_ns,vmhwm_kb,achieved_mibs,hostcache_flag,rc
0.625,A,mmap,off,3,1315584000,1315584000,1315584000,16,64,2304,0.969,1740.67,1667.028,100.258,0.638,105063272448,,,,,,,,,1315581952,,1276444,999,,0
0.625,C,lru,off,3,1315584000,1315584000,1449801728,16,64,2304,0.310,2103.58,1662.245,89.098,0.718,134509412352,134509674496,2561,2539,0,0,0,469,1295319040,1404067840,268435455,2643400,,,0
0.625,D,layer_order_declared,off,3,1315584000,1315584000,1449801728,16,64,2304,0.323,1743.11,765.627,42.446,1.508,60615532544,60615536640,1236,1215,0,0,0,245,1276805120,1403162624,268435455,2645404,,,0
0.625,E,layer_order_declared,on,3,1315584000,1315584000,1449801728,16,64,2304,0.322,1404.89,762.073,41.037,1.560,64742817792,64742821888,623,1244,643,0,0,63,1314095104,1403850752,134217727,2646948,,,0
0.75,A,mmap,off,1,1578700800,1578700800,1578700800,16,64,2304,1.100,1740.30,1876.467,85.660,0.747,83306905600,,,,,,,,,1578700800,,1535928,927,,0
0.75,C,lru,off,1,1578700800,1578700800,1712918528,16,64,2304,0.296,2307.20,1546.266,84.742,0.755,134509412352,134509674496,2561,2533,0,0,0,473,1542615040,1664360448,134217727,3152172,,,0
0.75,D,layer_order_declared,off,1,1578700800,1578700800,1712918528,16,64,2304,0.221,1284.15,491.176,24.088,2.657,43361349632,43361353728,871,844,0,0,0,210,1536937984,1661943808,134217727,3148484,,,0
0.75,E,layer_order_declared,on,1,1578700800,1578700800,1712918528,16,64,2304,0.200,1073.51,451.462,23.040,2.778,46235951104,46235955200,431,873,470,0,0,77,1542754304,1667993600,134217727,3159888,,,0
0.75,A,mmap,off,2,1578700800,1578700800,1578700800,16,64,2304,0.845,1310.88,1535.193,65.282,0.980,86536765440,,,,,,,,,1578700800,,1535048,1264,,0
0.75,C,lru,off,2,1578700800,1578700800,1712918528,16,64,2304,0.218,1568.55,1486.396,88.948,0.720,134509412352,134509674496,2561,2533,0,0,0,469,1542615040,1670696960,268435455,3151876,,,0
0.75,D,layer_order_declared,off,2,1578700800,1578700800,1712918528,16,64,2304,0.307,1929.24,595.689,33.014,1.939,43361349632,43361353728,871,844,0,0,0,204,1536937984,1662103552,268435455,3148712,,,0
0.75,E,layer_order_declared,on,2,1578700800,1578700800,1712918528,16,64,2304,0.300,1399.33,588.296,31.101,2.058,46048698368,46098030592,427,870,470,0,0,84,1536933888,1667641344,268435455,3159660,,,0
0.75,A,mmap,off,3,1578700800,1578700800,1578700800,16,64,2304,1.437,1846.88,1998.744,85.231,0.751,82278670336,,,,,,,,,1578700800,,1534908,921,,0
0.75,C,lru,off,3,1578700800,1578700800,1712918528,16,64,2304,0.319,2217.83,1542.074,87.922,0.728,134509412352,134509674496,2561,2533,0,0,0,476,1542615040,1665441792,134217727,3151976,,,0
0.75,D,layer_order_declared,off,3,1578700800,1578700800,1712918528,16,64,2304,0.314,1672.79,668.550,32.747,1.954,43361349632,43361353728,871,844,0,0,0,205,1536937984,1662574592,268435455,3148540,,,0
0.75,E,layer_order_declared,on,3,1578700800,1578700800,1712918528,16,64,2304,0.219,1428.93,589.080,28.025,2.284,46241898496,46241902592,431,873,470,0,0,77,1542754304,1668300800,134217727,3160044,,,0
